"Formula","Time (ns)","RAM usage (bytes)","Tautology"
"B₁(B₃B₁M₃p ∧ (q ∧ r))","14234631776","6696832","false"
"B₁B₂M₃¬((p ∨ p) ∨ r)","96547661761","11384328","false"
"B₁M₃(B₁B₁B₁q ∧ p)","10163359132","6367568","false"
"B₁M₂B₂M₂M₂(r ⇿ r)","11304411605","6367568","false"
"B₁(¬M₁M₁p → M₂q)","13345617836","6696816","false"
"B₁M₃B₂M₃B₂(q ∧ q)","10840463832","6367568","false"
"B₁M₃M₁B₁¬(p ∨ q)","13473797089","6696816","false"
"B₁((q ∧ q) ⇿ ¬((p ∨ p) ∨ r))","6749651","3517968","false"
"B₁(((q ⇿ q) ⇿ q) ∧ B₁M₁q)","42972301","3611024","false"
"B₁(M₂r ∧ B₁M₂(q ∨ r))","14002456918","6767360","false"
"B₁((M₃p → r) ∨ M₃(r ∨ r))","95920787904","11326040","false"
"B₁B₃((¬q ∧ q) ∧ B₃p)","122775575205","11384328","false"
"B₁M₁M₃(p ⇿ B₂B₃q)","10667141875","6367568","false"
"B₁(B₃((q ⇿ r) → q) ∧ ¬q)","7717119","3520160","false"
"B₁((B₁p ∨ r) ⇿ M₃¬q)","124212052263","11326024","false"
"B₁¬M₂(B₁p ∨ M₁r)","13807720722","6698224","false"
"B₁((q ⇿ r) → (B₁q → B₁q))","20523786","3610832","true"
"B₁B₁(M₁q ∨ (M₃p → r))","12277386543","6698240","false"
"B₁¬M₃(((p ∨ q) → p) ⇿ r)","10399048","3520816","false"
"B₁M₂M₂((p ∨ q) ∨ M₂r)","12593333527","6696832","false"
"B₁M₃B₂M₂(B₂q ⇿ p)","10766292807","6367568","false"
"B₁M₁B₂M₁M₁(p ∧ r)","10728918136","6367568","false"
"B₁M₁(¬M₂M₂q ∧ r)","14739195862","6696816","false"
"B₂B₁(B₂¬p ⇿ ¬q)","90467444473","11384312","false"
"B₂(¬(M₃r ⇿ B₁p) ∨ q)","101213375908","11326760","false"
"B₂((M₂M₃q ∨ (p → p)) ∨ p)","18370490","3610832","true"
"B₂((r ∨ r) → ((r ⇿ r) ⇿ (p ∧ p)))","7282383","3517984","false"
"B₂(B₂(B₁r ∧ (p ∧ q)) ∨ q)","106898755289","11339768","false"
"B₂M₂((r ∨ r) → ¬(q ∧ q))","10041327041","3712752","false"
"B₂(M₃M₃((p → r) → r) ∧ p)","119646226756","11326040","false"
"B₂(M₁((p ∧ p) → M₃p) ∨ p)","89308742254","11333440","false"
"B₂((B₂q ∨ p) ∧ M₁(p ∧ q))","101797834494","11329240","false"
"B₂B₃M₂B₂¬M₃r","12662896008463","81248520","false"
"B₂B₃M₁(M₃(q → r) ∧ r)","15267592890","6698240","false"
"B₂B₂M₃M₂M₂M₃q","1198616070549","30906312","false"
"B₂(M₁M₁q → (¬q ∧ r))","109908381723","11403840","false"
"B₂B₁((r ⇿ r) ∧ (B₁p ⇿ r))","451139869","3940944","false"
"B₂B₂(B₂((p → r) → q) ⇿ p)","100857210566","11384344","false"
"B₂(¬r ∧ B₃M₂M₁q)","12786309073","6696816","false"
"B₂M₃B₂¬¬(p → p)","99016616178","11401400","false"
"B₂M₃M₃(M₃r ⇿ B₁p)","11705560929","6367568","false"
"B₂M₁M₂(B₁p ∨ M₁r)","10781637657","6367568","false"
